PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
8,566.2905,8,3,4,334.6898,25.31024,0.7807614,24.10657,3
8,581.7924,9,1,7,348.5734,11.42657,1.748372,15.50195,3
8,684.4767,10,4,5,351.7636,8.23642,1.039075,14.552,2
8,692.7431,11,4,4,358.2136,1.786438,1.173441,8.266357,2
8,700.4487,12,4,0,1.429016,1.429016,0.9829278,7.705566,2
8,715.2269,13,5,8,3.553054,3.553054,0.9391221,14.77826,2
8,724.2523,14,1,4,357.8782,2.121765,0.7897378,9.02533,2
8,739.7787,15,3,3,347.2166,12.78336,0.7177241,15.52649,2
8,749.2222,16,2,5,6.216186,6.216186,0.9538965,9.44342,2
8,771.0836,17,5,2,346.0639,13.93607,0.7293907,21.86145,2
8,783.7887,18,1,0,8.961513,8.961513,0.817324,12.70508,2
8,799.4014,19,1,8,332.3922,27.60782,0.7573381,15.61273,2
8,868.1489,20,4,7,7.73834,7.73834,0.7273807,9.737366,1
8,878.0372,21,2,9,356.1013,3.898682,0.7012684,9.888367,1
8,896.5762,22,5,5,2.729463,2.729463,1.007936,18.53894,1
8,907.2133,23,3,5,18.98504,18.98504,0.7145604,10.63708,1
8,915.6022,24,0,6,354.123,5.877045,0.749005,8.388916,1
8,927.9337,25,1,3,357.3434,2.656647,0.7282003,12.33154,1
8,936.6025,26,1,9,0.2333496,0.2333496,0.7036442,8.668762,1
8,949.2766,27,1,6,358.4723,1.527679,0.752615,12.67413,1
8,964.8478,28,4,6,355.2089,4.791107,0.7069613,15.57117,1
8,981.7078,29,4,2,352.6082,7.391815,0.904974,16.85999,1
8,1097.241,30,3,7,6.597567,6.597567,0.6005425,17.1908,6
8,1119.173,31,4,1,354.7656,5.234436,0.4738156,21.93164,6
8,1127.239,32,0,5,341.3269,18.67313,0.1253463,8.065918,6
8,1139.321,33,1,5,353.5071,6.492889,0.1699668,12.08252,6
8,1150.739,34,0,7,0.4305142,0.4305142,0.2258194,11.41797,6
8,1167.61,35,2,7,2.144233,2.144233,0.2499598,16.87109,6
8,1180.474,36,0,8,10.40682,10.40682,0.4077972,12.86316,6
8,1192.972,37,3,9,352.7403,7.259735,0.1437349,12.49841,6
8,1208.703,38,3,0,349.8651,10.13492,0.6855123,15.73083,6
8,1217.925,39,5,4,2.965947,2.965947,0.4827198,9.22229,6
8,1321.844,40,5,3,351.7431,8.256897,0.7004779,10.94299,5
8,1339.885,41,2,0,351.3042,8.69577,0.7966871,18.04102,5
