PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
51,1644.82,21,1,4,1.910572,1.910572,2.132962,14.08594,Arrow & Lights,23.43390217,23.75420377,25.48769,0.916314032,1.809441897
51,1654.75,22,0,7,4.292022,4.292022,1.745677,9.930054,Arrow & Lights,17.09075992,18.25009506,18.2501,0.90434699,1.837865131
51,1658.78,23,0,16,12.74963,12.74963,2.46049,4.029663,Arrow & Lights,3.315107916,5.546100717,5.546103,0.556356959,1.37631931
51,1670.17,24,0,2,3.205932,3.205932,2.146367,11.3905,Arrow & Lights,5.638457976,5.657425914,5.657426,0.620610681,0.496679338
51,1688.291,25,0,13,353.2521,6.747894,1.962259,18.12061,Arrow & Lights,23.01858233,22.43657643,24.23453,0.91903045,1.337401445
51,1705.664,26,1,0,356.6244,3.37561,1.828765,17.37317,Arrow & Lights,32.33021617,30.08991342,30.88056,0.898595755,1.777485629
51,1716.154,27,2,8,349.6458,10.35425,2.486815,10.4895,Arrow & Lights,6.213657934,5.935021172,5.935041,0.554943004,0.565807808
51,1894.636,28,2,10,185.4397,174.5603,2.216241,43.04968,Arrow & Radar,58.03603604,26.3349966,26.33501,0.415582639,0.611735325
51,1904.22,29,1,3,166.1093,166.1093,1.841961,9.58374,Arrow & Radar,5.68691407,6.854255031,6.858387,0.731429416,0.715627406
51,1922.803,30,1,1,200.2561,159.7439,2.172936,18.58362,Arrow & Radar,15.62821183,16.47301878,16.47305,0.868091458,0.886428478
51,1943.496,31,1,12,177.9985,177.9985,1.428703,20.69287,Arrow & Radar,19.04118959,19.35120296,20.10522,0.928938703,0.971601329
51,1960.9,32,1,6,183.5345,176.4655,2.092677,17.40405,Arrow & Radar,16.32773924,16.50907537,16.95096,0.876545222,0.973966404
51,1976.272,33,1,5,179.3989,179.3989,1.737161,15.37134,Arrow & Radar,15.80011889,16.18571155,16.18574,0.892673366,1.052981718
51,1997.145,34,2,7,199.9256,160.0744,2.236207,20.87329,Arrow & Radar,21.56857119,18.23400764,18.83068,0.769382119,0.902142403
51,2141.463,35,1,13,1.246271,1.246271,2.295357,37.05054,Control,55.63284349,28.71565386,28.71983,0.47497973,0.775152805
51,2166.608,36,1,8,17.24301,17.24301,1.41269,25.14526,Control,37.98566758,19.7715506,19.77676,0.483447341,0.786500517
51,2186.128,37,1,7,83.62466,83.62466,1.202513,19.52002,Control,31.27124545,26.75173411,27.52101,0.841619725,1.409886363
51,2217.349,38,2,9,21.73903,21.73903,1.087224,31.2207,Control,51.16869712,28.5234728,29.32231,0.551803888,0.939194509
51,2242.642,39,2,4,7.513042,7.513042,1.320837,25.2937,Control,38.95208849,11.3314652,11.79872,0.268994126,0.466468725
51,2261.295,40,1,10,219.0602,140.9398,1.241467,18.65308,Control,21.60911141,1.254951678,1.255229,0.000636861,0.067293391
51,2274.669,41,1,15,87.85388,87.85388,1.067521,13.37402,Control,20.47683304,11.25664604,11.93059,0.530505327,0.892072092
51,2412.801,42,2,11,3.305523,3.305523,1.681316,43.69385,Lights & Radar,51.87850534,27.04462699,27.04746,0.488952869,0.619022128
51,2460.579,43,2,3,6.463632,6.463632,1.029189,47.77881,Lights & Radar,56.25542982,18.85029175,18.85031,0.316789349,0.394532848
51,2493.725,44,0,12,2.458185,2.458185,2.651641,33.14526,Lights & Radar,44.88817831,10.83235036,10.83235,0.182246402,0.326814453
51,2514.427,45,0,10,356.4728,3.527161,2.259208,20.70264,Lights & Radar,20.23343758,9.693735198,10.33092,0.398929345,0.499014618
51,2527.683,46,1,9,14.32985,14.32985,2.773861,13.25537,Lights & Radar,12.3365185,6.228005817,6.228068,0.279998526,0.469852445
51,2563.042,47,2,5,11.23894,11.23894,2.438923,35.35962,Lights & Radar,49.95683908,20.00336647,20.12677,0.354062573,0.569202101
51,2579.981,48,0,14,345.4362,14.56375,2.77771,16.93848,Lights & Radar,24.33656672,14.70876836,15.26985,0.513307409,0.901488799
52,254.3044,0,1,6,18.07421,18.07421,1.642683,45.68887,Control,29.86362572,16.50907537,16.95096,0.51260611,0.371008519
52,295.1545,1,2,11,359.4918,0.5081787,1.757655,40.85013,Control,36.10887535,27.04462699,27.04746,0.700376424,0.662114417
52,333.3271,2,1,3,7.10358,7.10358,1.267475,38.17255,Control,18.99050636,6.854255031,6.858387,0.294405631,0.179668034
52,379.6979,3,2,15,3.931418,3.931418,0.939577,46.37085,Control,31.53752185,17.61926428,19.35056,0.583780269,0.417300093
52,408.8248,4,1,2,356.8296,3.17041,1.382742,29.12683,Control,15.67524896,10.33542442,10.61248,0.588809659,0.364354102
52,435.6979,5,2,10,353.8525,6.147461,1.033899,26.87311,Control,29.76123841,26.3349966,26.33501,0.850136364,0.979976266
52,477.8783,6,2,9,340.752,19.24802,0.8724049,42.18039,Control,47.69912794,28.5234728,29.32231,0.596444974,0.695164507
52,701.4652,7,0,12,351.3418,8.658173,1.275794,20.42975,Arrow & Lights,12.30414288,10.83235036,10.83235,0.776694167,0.530224305
52,718.6903,8,2,5,354.2487,5.751312,2.565308,17.2251,Arrow & Lights,20.52802321,20.00336647,20.12677,0.855487244,1.168455916
52,725.6609,9,1,10,353.3829,6.617065,0.769537,6.970642,Arrow & Lights,1.18575196,1.254951678,1.255229,0.386934974,0.180073657
52,751.2783,10,2,2,353.3221,6.677887,1.195198,25.61737,Arrow & Lights,29.93322681,24.06458722,25.60812,0.815579361,0.999638917
52,762.6885,11,0,1,355.1882,4.811768,2.030785,11.41022,Arrow & Lights,13.25763563,14.63824736,14.69847,0.86183698,1.288184627
52,791.6597,12,1,13,354.4263,5.5737,0.813062,28.97119,Arrow & Lights,30.43613155,28.71565386,28.71983,0.916896024,0.991323794
52,847.1167,13,1,16,357.1469,2.853058,0.9460476,55.45697,Arrow & Lights,22.87753947,12.21494573,12.73548,0.515327814,0.229646156
52,980.5263,14,2,7,357.644,2.356049,2.269455,17.96814,Lights & Radar,19.27753871,18.23400764,18.83068,0.859094371,1.048003856
52,993.8036,15,0,3,356.5821,3.417877,2.205499,13.27734,Lights & Radar,4.469067715,5.111929384,5.111933,0.568558704,0.385011832
52,1010.494,16,0,2,354.4348,5.565247,2.251496,16.69061,Lights & Radar,5.664002483,5.657425914,5.657426,0.601329186,0.338958612
52,1021.129,17,1,9,0.2248607,0.2248607,2.533545,10.63507,Lights & Radar,5.022418373,6.228005817,6.228068,0.593205309,0.58561608
52,1038.6,18,1,11,354.1141,5.885895,1.808645,17.47028,Lights & Radar,15.67489228,15.61622492,16.15926,0.888073773,0.924957127
52,1057.288,19,1,4,355.388,4.611969,2.346339,18.68811,Lights & Radar,22.67948339,23.75420377,25.48769,0.907942265,1.363845247
52,1073.964,20,2,6,354.5397,5.460327,2.67407,16.67603,Lights & Radar,16.99073351,13.80631808,13.83995,0.657174688,0.829930745
52,1287.517,21,0,16,348.4026,11.59735,2.85745,18.82935,Lights,4.53704381,5.546100717,5.546103,0.484782378,0.294545643
52,1306.889,22,0,8,0.9052603,0.9052603,2.721143,19.37134,Lights,13.26696323,13.75549821,14.28306,0.809484592,0.737329477
52,1333.358,23,0,11,351.8541,8.145905,2.06441,26.4696,Lights,9.720596363,10.81691564,10.81692,0.809149924,0.408654456
52,1361.699,24,2,3,354.1874,5.812561,1.657183,28.34058,Lights,21.96525006,18.85029175,18.85031,0.782742147,0.665134941
52,1397.447,25,2,0,3.25662,3.25662,2.866699,35.74854,Lights,23.63298417,7.675431616,7.853677,0.211017701,0.219692245
52,1414.346,26,1,1,355.9615,4.038544,2.637747,16.89844,Lights,14.26557363,16.47301878,16.47305,0.839875008,0.97482667
52,1430.965,27,2,4,2.606853,2.606853,2.129719,16.61902,Lights,12.08372114,11.3314652,11.79872,0.800167505,0.709952813
52,1543.213,28,1,12,357.1441,2.855927,2.71858,14.58948,Arrow & Radar,17.16462603,19.35120296,20.10522,0.86478238,1.378062823
52,1548.715,29,0,5,353.8712,6.128815,2.334718,5.502319,Arrow & Radar,5.990875899,8.241062983,8.241096,0.716698119,1.497749585
52,1558.01,30,0,6,354.6257,5.374268,2.518741,9.2948,Arrow & Radar,7.546647862,8.102084491,8.382174,0.699512203,0.901813272
52,1574.589,31,1,7,354.9162,5.083771,2.334012,16.57898,Arrow & Radar,24.61314428,26.75173411,27.52101,0.91519163,1.659994161
52,1594.428,32,1,14,350.7459,9.25412,1.593253,19.83936,Arrow & Radar,28.06695839,22.13832398,23.38436,0.776397168,1.1786852
52,1616.034,33,0,10,357.3359,2.664063,2.588777,21.6051,Arrow & Radar,8.671089852,9.693735198,10.33092,0.74941467,0.478170432
