PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
6,1718.025,32,0,10,4.08715,4.08715,0.4267307,17.08508,Arrow
6,1724.977,33,0,16,13.63279,13.63279,0.5495853,6.952026,Arrow
6,1738.717,34,1,2,16.28744,16.28744,1.279309,13.74023,Arrow
6,1875.327,35,1,11,357.7531,2.246857,0.7001294,17.93359,Arrow & Lights
6,1888.598,36,0,8,2.96227,2.96227,0.4907347,13.27026,Arrow & Lights
6,1909.063,37,2,11,7.078415,7.078415,1.454344,20.46545,Arrow & Lights
6,1925.829,38,1,7,12.73145,12.73145,0.574802,16.76599,Arrow & Lights
6,1943.583,39,2,16,11.82012,11.82012,2.602385,17.75427,Arrow & Lights
6,1951.175,40,0,12,26.30232,26.30232,0.9842558,7.591431,Arrow & Lights
6,1959.382,41,0,5,359.1464,0.8535767,0.465814,8.20752,Arrow & Lights
6,2047.183,42,1,5,11.8732,11.8732,2.348234,24.54224,Lights
6,2072.767,43,2,6,10.06769,10.06769,0.4322999,25.58435,Lights
6,2084.748,44,0,1,348.9282,11.07178,1.264022,11.9812,Lights
6,2099.958,45,0,7,356.2591,3.740875,2.376744,15.20972,Lights
6,2138.464,46,2,12,10.91657,10.91657,2.269881,38.50586,Lights
6,2142.138,47,1,3,13.13161,13.13161,1.849968,3.674561,Lights
6,2168.079,48,0,0,8.969447,8.969447,2.397088,25.94019,Lights
8,181.8935,0,1,9,57.94384,57.94384,6.064845,11.32845,Arrow & Radar
8,192.7703,1,0,2,1.147007,1.147007,1.203285,10.87683,Arrow & Radar
8,205.809,2,0,4,8.885609,8.885609,2.326014,13.03874,Arrow & Radar
8,224.9634,3,2,10,4.444127,4.444127,0.5641454,19.1544,Arrow & Radar
8,252.4465,4,0,0,11.77088,11.77088,0.8752439,27.48311,Arrow & Radar
8,262.9191,5,2,0,6.743955,6.743955,1.763508,10.47258,Arrow & Radar
8,274.5716,6,0,1,354.651,5.348999,1.480414,11.6525,Arrow & Radar
8,393.1906,7,1,2,232.0471,127.9529,2.39019,32.25809,Radar
8,443.3913,8,1,1,340.069,19.93103,1.946474,50.20065,Radar
8,468.3835,9,2,12,8.941095,8.941095,2.99412,24.99222,Radar
8,509.4015,10,2,4,348.086,11.914,1.322382,41.01801,Radar
8,556.5103,11,1,14,282.6527,77.34732,1.042277,47.10876,Radar
8,615.2104,12,2,3,54.10907,54.10907,2.966014,58.70013,Radar
8,643.4993,13,2,5,257.169,102.831,1.243284,28.28894,Radar
8,813.6757,14,2,14,348.2336,11.76645,0.8765415,10.47144,Lights & Radar
8,829.1195,15,0,16,354.2178,5.782166,2.089401,15.44385,Lights & Radar
8,956.0092,16,2,9,4.456138,4.456138,2.91981,126.8896,Lights & Radar
8,988.8398,17,2,6,356.0463,3.953735,2.175971,32.83063,Lights & Radar
8,1023.473,18,1,12,171.2668,171.2668,0.6379168,34.63275,Lights & Radar
8,1054.367,19,0,5,348.572,11.42804,1.586815,30.89478,Lights & Radar
8,1072.381,20,1,8,4.145255,4.145255,2.365816,18.01404,Lights & Radar
8,1239.546,21,1,10,7.148934,7.148934,0.8452116,7.213135,Arrow
8,1254.704,22,2,2,6.644887,6.644887,1.084866,15.15784,Arrow
8,1266.229,23,0,7,359.9089,0.09109497,1.799206,11.52527,Arrow
8,1284.214,24,2,11,12.25881,12.25881,0.9438161,17.98547,Arrow
8,1291.185,25,0,11,354.6626,5.337372,1.655317,6.970581,Arrow
8,1300.704,26,1,16,357.5268,2.473236,0.9048131,9.519287,Arrow
8,1314.955,27,2,16,352.5739,7.426056,1.105093,14.25024,Arrow
8,1484.653,28,1,15,354.149,5.851013,1.698071,13.82532,Control
8,1508.97,29,0,9,357.2948,2.7052,0.5909805,24.31702,Control
8,1537.193,30,0,14,336.4673,23.53271,0.6381896,28.22217,Control
8,1558.749,31,0,8,357.2596,2.740417,0.3302346,21.55627,Control
8,1581.057,32,0,3,0.4136608,0.4136608,0.5036885,22.30823,Control
8,1602.277,33,2,15,322.7831,37.21692,0.4875513,21.22034,Control
8,1655.7,34,1,13,356.1617,3.838287,0.5868813,53.42249,Control
8,1791.37,35,1,11,359.3132,0.6867981,1.846001,17.81274,Lights
8,1830.067,36,1,7,5.233198,5.233198,2.379425,38.69678,Lights
8,1840.801,37,2,8,10.79417,10.79417,2.551409,10.73474,Lights
8,1861.418,38,1,6,348.066,11.93396,2.571438,20.61682,Lights
8,1878.289,39,2,7,0.4549327,0.4549327,2.809246,16.87073,Lights
8,1894.316,40,1,5,6.828715,6.828715,2.705898,16.02686,Lights
8,1904.398,41,2,13,6.883223,6.883223,3.16127,10.08191,Lights
8,2051.365,42,0,10,2.269567,2.269567,1.443455,13.02759,Arrow & Lights
8,2056.771,43,1,3,6.785016,6.785016,2.323578,5.406006,Arrow & Lights
8,2064.942,44,0,6,0.300435,0.300435,1.912269,8.170898,Arrow & Lights
8,2084.643,45,1,0,352.9535,7.046539,1.344493,19.70093,Arrow & Lights
8,2097.084,46,1,4,0.6375481,0.6375481,2.579274,12.44067,Arrow & Lights
8,2113.015,47,0,13,10.80266,10.80266,0.9539799,15.93115,Arrow & Lights
8,2120.919,48,0,12,359.8049,0.1951294,0.9137981,7.904541,Arrow & Lights
9,251.71,0,1,12,353.1606,6.839447,0.4540606,83.0497,Lights
9,294.2745,1,2,2,358.3075,1.692474,1.491262,42.56451,Lights
9,331.0309,2,2,9,10.96049,10.96049,2.317234,36.75635,Lights
9,346.4331,3,1,9,358.9093,1.090668,2.39029,15.40228,Lights
9,379.8358,4,0,6,7.922028,7.922028,2.275218,33.40265,Lights
9,410.2086,5,0,12,350.801,9.198975,2.048433,30.37283,Lights
9,467.0436,6,0,0,352.5906,7.409424,0.8287239,56.83502,Lights
9,616.3028,7,1,4,5.395536,5.395536,0.5097609,26.3291,Arrow
9,632.9559,8,0,3,13.38771,13.38771,0.4451835,16.65308,Arrow
9,646.6641,9,0,5,359.5779,0.4220886,0.8048322,13.70825,Arrow
9,672.1487,10,2,10,206.6972,153.3028,0.4623328,25.48456,Arrow
9,684.3739,11,0,10,172.7879,172.7879,0.4565989,12.22522,Arrow
9,708.4282,12,1,7,10.52512,10.52512,0.4443977,24.05432,Arrow
9,722.3331,13,0,1,354.4902,5.509827,0.5294009,13.90485,Arrow
9,845.7189,14,0,7,12.0764,12.0764,0.9145304,15.7915,Arrow & Lights
9,857.7713,15,1,15,357.962,2.038025,0.4983155,12.05237,Arrow & Lights
9,880.2784,16,2,3,356.3764,3.623627,0.890986,22.50714,Arrow & Lights
9,897.3304,17,2,16,1.420684,1.420684,0.5046968,17.052,Arrow & Lights
9,916.4763,18,1,6,359.2231,0.7769165,0.3969555,19.14587,Arrow & Lights
9,933.009,19,1,2,5.101065,5.101065,0.5860749,16.53265,Arrow & Lights
9,957.3433,20,1,0,357.4052,2.594757,0.4620739,24.33429,Arrow & Lights
9,1061.403,21,2,6,342.5784,17.42157,0.6299512,20.09644,Radar
9,1074.219,22,0,2,352.3187,7.681305,0.2677315,12.81592,Radar
9,1095.776,23,0,14,348.2786,11.72141,0.9259982,21.55688,Radar
9,1113.484,24,2,12,353.4427,6.557251,0.2901287,17.70862,Radar
9,1130.848,25,2,0,349.2618,10.73822,0.4650328,17.36328,Radar
9,1145.898,26,1,16,347.3594,12.64056,0.9062795,15.05005,Radar
9,1165.333,27,0,13,350.1194,9.880554,1.601797,19.43542,Radar
9,1387.806,28,2,15,10.91863,10.91863,0.7109745,27.25806,Control
9,1434.566,29,1,14,2.631875,2.631875,0.7047023,46.76086,Control
9,1454.166,30,0,9,13.02458,13.02458,0.8737165,19.59961,Control
9,1478.495,31,1,5,355.0517,4.948273,1.049553,24.32861,Control
9,1500.134,32,0,16,358.519,1.480957,1.185549,21.63916,Control
9,1540.55,33,0,8,2.240349,2.240349,0.5323226,40.41638,Control
9,1585.733,34,2,7,14.12482,14.12482,1.153576,45.1825,Control
9,1695.887,35,2,4,358.5709,1.429077,1.32954,11.16211,Arrow & Radar
9,1708.932,36,0,4,341.6497,18.35028,1.005808,13.04456,Arrow & Radar
9,1735.723,37,1,13,0.5052536,0.5052536,1.869663,26.79114,Arrow & Radar
9,1750.846,38,1,1,359.1882,0.8118286,1.13996,15.12305,Arrow & Radar
9,1765.527,39,1,11,6.383005,6.383005,0.4957539,14.68127,Arrow & Radar
9,1777.164,40,2,8,358.4833,1.516663,0.8650075,11.63696,Arrow & Radar
9,1787.533,41,2,13,359.2302,0.7698364,1.397702,10.36926,Arrow & Radar
9,1862.639,42,2,14,355.4497,4.550323,2.328933,14.54285,Lights & Radar
9,1886.763,43,2,11,350.6613,9.338745,0.9375189,24.12476,Lights & Radar
9,1897.426,44,1,3,347.4467,12.55325,1.449206,10.66272,Lights & Radar
9,1907.291,45,1,10,352.7447,7.25531,1.248874,9.865234,Lights & Radar
9,1921.483,46,0,11,357.4502,2.549774,0.9922569,14.19141,Lights & Radar
9,1944.128,47,1,8,346.3224,13.67764,2.254401,22.64526,Lights & Radar
9,1959.934,48,2,5,350.0571,9.942871,2.071452,15.80652,Lights & Radar
10,167.6286,0,0,5,353.667,6.333038,1.220336,14.71585,Control
10,189.3566,1,0,7,21.72867,21.72867,0.988692,21.72804,Control
10,201.5095,2,1,1,343.0842,16.91583,1.378189,12.15286,Control
10,214.2591,3,1,9,11.66775,11.66775,1.203632,12.7496,Control
10,239.2394,4,2,15,6.716163,6.716163,1.782136,24.98032,Control
10,256.5016,5,1,2,343.3595,16.6405,1.899722,17.26224,Control
