PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
8,1180.474,36,0,8,10.40682,10.40682,0.4077972,12.86316,Lights & Radar
8,1192.972,37,3,9,352.7403,7.259735,0.1437349,12.49841,Lights & Radar
8,1208.703,38,3,0,349.8651,10.13492,0.6855123,15.73083,Lights & Radar
8,1217.925,39,5,4,2.965947,2.965947,0.4827198,9.22229,Lights & Radar
8,1339.885,41,2,0,351.3042,8.69577,0.7966871,18.04102,Arrow & Lights
8,1351.66,42,3,6,5.357233,5.357233,0.6893703,11.77527,Arrow & Lights
8,1370.061,43,0,1,6.364076,6.364076,0.7228811,18.40039,Arrow & Lights
8,1390.301,44,5,9,352.6239,7.376099,0.7422026,20.2406,Arrow & Lights
8,1397.838,45,4,3,359.2369,0.763092,0.7075731,7.536743,Arrow & Lights
8,1410.734,46,2,6,358.7735,1.226532,0.6938505,12.89636,Arrow & Lights
8,1423.534,47,5,0,358.6279,1.372101,0.695192,12.79956,Arrow & Lights
8,1443.311,48,2,8,8.643199,8.643199,0.7046868,19.77747,Arrow & Lights
8,1459.683,49,2,3,41.1848,41.1848,0.7194883,16.37122,Arrow & Lights
8,1569.792,51,1,2,0.7965739,0.7965739,0.8143326,10.99951,Arrow & Radar
8,1580.693,52,0,2,3.51616,3.51616,0.7717359,10.90198,Arrow & Radar
8,1586.049,53,2,2,9.218714,9.218714,0.7875448,5.355835,Arrow & Radar
8,1598.387,54,0,9,0.3388371,0.3388371,0.7275614,12.33752,Arrow & Radar
8,1606.205,55,3,2,10.24784,10.24784,0.7774878,7.818604,Arrow & Radar
8,1616.788,56,4,8,1.602027,1.602027,0.6352946,10.58301,Arrow & Radar
8,1637.425,57,3,8,1.877894,1.877894,0.6371816,20.63684,Arrow & Radar
8,1649.021,58,0,4,357.1374,2.862579,0.6650326,11.59607,Arrow & Radar
8,1665.076,59,4,9,353.7823,6.217712,0.7431436,16.05444,Arrow & Radar
9,387.011,1,4,9,352.6848,7.315155,0.7419428,21.27866,Radar
9,399.3722,2,2,1,355.2954,4.70462,0.768144,12.36115,Radar
9,408.8586,3,4,0,18.54742,18.54742,0.821435,9.48645,Radar
9,429.2008,4,0,0,358.7056,1.294373,0.8038797,20.34219,Radar
9,450.7337,5,4,8,3.421702,3.421702,0.9067148,21.5329,Radar
9,465.8307,6,2,9,352.2679,7.732117,0.8544545,15.09695,Radar
9,481.9947,7,0,6,339.3278,20.67224,0.789951,16.16403,Radar
9,503.747,8,4,6,1.052423,1.052423,0.8854839,21.75232,Radar
9,525.5795,9,2,4,350.9258,9.074188,0.9704335,21.83252,Radar
9,647.4728,11,2,5,1.344176,1.344176,0.7282524,16.26129,Arrow
9,661.8207,12,1,5,354.925,5.074982,0.759988,14.3479,Arrow
9,684.0157,13,4,1,0.5270985,0.5270985,0.8055866,22.19507,Arrow
9,692.0551,14,3,1,359.9807,0.01931763,1.245197,8.039368,Arrow
9,716.6382,15,3,8,3.084748,3.084748,0.7900641,24.58307,Arrow
9,730.6915,16,4,7,0.02038456,0.02038456,0.8184968,14.05334,Arrow
9,748.2184,17,4,2,3.322443,3.322443,0.8082994,17.52686,Arrow
9,755.744,18,4,4,4.569072,4.569072,0.8885376,7.525635,Arrow
9,769.3974,19,0,9,346.7397,13.26025,1.072172,13.65338,Arrow
9,920.251,21,3,3,11.11131,11.11131,1.862077,34.38617,Lights
