PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
50,861.0186,26,0,14,358.7967,1.203308,1.129086,13.84064,2
50,866.3277,27,1,3,358.6451,1.354889,2.709791,5.309082,2
51,242.6713,0,1,11,159.4594,159.4594,0.5752243,27.0802,1
51,254.5576,1,0,3,183.1842,176.8158,1.027857,11.88634,1
51,266.6231,2,0,5,273.8514,86.14856,0.72696,12.06548,1
51,289.727,3,2,2,354.172,5.828033,0.5402859,23.10388,1
51,303.1351,4,0,9,332.7578,27.24225,0.933639,13.40811,1
51,325.4238,5,2,0,227.8476,132.1524,0.6908071,22.28873,1
51,330.9524,6,2,13,234.6305,125.3695,0.8234744,5.528595,1
51,629.4274,7,1,14,359.6062,0.3938293,0.9257255,25.85907,3
51,702.6121,8,0,1,352.9796,7.020355,1.115806,73.18463,3
51,735.4957,9,0,4,0.9469371,0.9469371,2.670596,32.88361,3
51,774.9686,10,0,8,347.4659,12.53415,0.8748611,39.47296,3
51,814.6736,11,2,15,6.953704,6.953704,1.885283,39.70496,3
51,830.6874,12,0,11,0.5173469,0.5173469,2.665086,16.01379,3
51,861.9213,13,2,12,343.3596,16.64035,1.88128,31.23395,3
51,1099.553,14,2,16,184.0148,175.9852,1.628532,60.29407,2
51,1142.513,15,1,16,191.2153,168.7847,2.427487,42.95911,2
51,1198.147,16,2,6,182.4593,177.5407,1.70094,55.63477,2
51,1214.508,17,1,2,181.7198,178.2802,1.708757,16.36084,2
51,1278.221,18,0,0,187.2298,172.7702,2.782576,63.71265,2
51,1293.892,19,2,14,193.9592,166.0408,2.261578,15.67078,2
51,1338.393,20,0,6,187.5528,172.4472,2.580287,44.50171,2
51,1644.82,21,1,4,1.910572,1.910572,2.132962,14.08594,5
51,1654.75,22,0,7,4.292022,4.292022,1.745677,9.930054,5
51,1658.78,23,0,16,12.74963,12.74963,2.46049,4.029663,5
51,1670.17,24,0,2,3.205932,3.205932,2.146367,11.3905,5
51,1688.291,25,0,13,353.2521,6.747894,1.962259,18.12061,5
51,1705.664,26,1,0,356.6244,3.37561,1.828765,17.37317,5
51,1716.154,27,2,8,349.6458,10.35425,2.486815,10.4895,5
51,1894.636,28,2,10,185.4397,174.5603,2.216241,43.04968,4
51,1904.22,29,1,3,166.1093,166.1093,1.841961,9.58374,4
51,1922.803,30,1,1,200.2561,159.7439,2.172936,18.58362,4
51,1943.496,31,1,12,177.9985,177.9985,1.428703,20.69287,4
51,1960.9,32,1,6,183.5345,176.4655,2.092677,17.40405,4
51,1976.272,33,1,5,179.3989,179.3989,1.737161,15.37134,4
51,1997.145,34,2,7,199.9256,160.0744,2.236207,20.87329,4
51,2141.463,35,1,13,1.246271,1.246271,2.295357,37.05054,7
51,2166.608,36,1,8,17.24301,17.24301,1.41269,25.14526,7
51,2186.128,37,1,7,83.62466,83.62466,1.202513,19.52002,7
51,2217.349,38,2,9,21.73903,21.73903,1.087224,31.2207,7
51,2242.642,39,2,4,7.513042,7.513042,1.320837,25.2937,7
51,2261.295,40,1,10,219.0602,140.9398,1.241467,18.65308,7
51,2274.669,41,1,15,87.85388,87.85388,1.067521,13.37402,7
51,2412.801,42,2,11,3.305523,3.305523,1.681316,43.69385,6
51,2460.579,43,2,3,6.463632,6.463632,1.029189,47.77881,6
51,2493.725,44,0,12,2.458185,2.458185,2.651641,33.14526,6
51,2514.427,45,0,10,356.4728,3.527161,2.259208,20.70264,6
51,2527.683,46,1,9,14.32985,14.32985,2.773861,13.25537,6
51,2563.042,47,2,5,11.23894,11.23894,2.438923,35.35962,6
51,2579.981,48,0,14,345.4362,14.56375,2.77771,16.93848,6
52,254.3044,0,1,6,18.07421,18.07421,1.642683,45.68887,7
52,295.1545,1,2,11,359.4918,0.5081787,1.757655,40.85013,7
52,333.3271,2,1,3,7.10358,7.10358,1.267475,38.17255,7
52,379.6979,3,2,15,3.931418,3.931418,0.939577,46.37085,7
52,408.8248,4,1,2,356.8296,3.17041,1.382742,29.12683,7
52,435.6979,5,2,10,353.8525,6.147461,1.033899,26.87311,7
52,477.8783,6,2,9,340.752,19.24802,0.8724049,42.18039,7
52,701.4652,7,0,12,351.3418,8.658173,1.275794,20.42975,5
52,718.6903,8,2,5,354.2487,5.751312,2.565308,17.2251,5
52,725.6609,9,1,10,353.3829,6.617065,0.769537,6.970642,5
52,751.2783,10,2,2,353.3221,6.677887,1.195198,25.61737,5
52,762.6885,11,0,1,355.1882,4.811768,2.030785,11.41022,5
52,791.6597,12,1,13,354.4263,5.5737,0.813062,28.97119,5
52,847.1167,13,1,16,357.1469,2.853058,0.9460476,55.45697,5
52,980.5263,14,2,7,357.644,2.356049,2.269455,17.96814,6
52,993.8036,15,0,3,356.5821,3.417877,2.205499,13.27734,6
52,1010.494,16,0,2,354.4348,5.565247,2.251496,16.69061,6
52,1021.129,17,1,9,0.2248607,0.2248607,2.533545,10.63507,6
52,1038.6,18,1,11,354.1141,5.885895,1.808645,17.47028,6
52,1057.288,19,1,4,355.388,4.611969,2.346339,18.68811,6
52,1073.964,20,2,6,354.5397,5.460327,2.67407,16.67603,6
52,1287.517,21,0,16,348.4026,11.59735,2.85745,18.82935,3
52,1306.889,22,0,8,0.9052603,0.9052603,2.721143,19.37134,3
52,1333.358,23,0,11,351.8541,8.145905,2.06441,26.4696,3
52,1361.699,24,2,3,354.1874,5.812561,1.657183,28.34058,3
52,1397.447,25,2,0,3.25662,3.25662,2.866699,35.74854,3
52,1414.346,26,1,1,355.9615,4.038544,2.637747,16.89844,3
52,1430.965,27,2,4,2.606853,2.606853,2.129719,16.61902,3
52,1543.213,28,1,12,357.1441,2.855927,2.71858,14.58948,4
52,1548.715,29,0,5,353.8712,6.128815,2.334718,5.502319,4
52,1558.01,30,0,6,354.6257,5.374268,2.518741,9.2948,4
52,1574.589,31,1,7,354.9162,5.083771,2.334012,16.57898,4
52,1594.428,32,1,14,350.7459,9.25412,1.593253,19.83936,4
52,1616.034,33,0,10,357.3359,2.664063,2.588777,21.6051,4
52,1637.712,34,0,0,357.4458,2.554169,2.187865,21.67871,4
52,1775.526,35,2,14,359.8265,0.1734924,0.9619544,11.30212,1
52,1791.582,36,0,4,3.677837,3.677837,2.516857,16.05615,1
52,1808.542,37,0,13,1.438135,1.438135,1.520679,16.95984,1
52,1817.191,38,1,15,1.714004,1.714004,2.406551,8.649292,1
52,1831.253,39,0,7,1.158759,1.158759,2.261851,14.06213,1
52,1859.169,40,0,9,0.008778045,0.008778045,2.495671,27.91602,1
52,1880.628,41,1,0,2.983916,2.983916,1.851738,21.45874,1
52,1962.386,42,2,13,1.392618,1.392618,3.079144,2.742554,2
52,1976.4,43,0,14,0.8427365,0.8427365,1.264089,14.01453,2
52,1990.355,44,2,12,0.4694696,0.4694696,1.926709,13.95459,2
52,2004.241,45,1,5,357.6123,2.387726,2.443386,13.88623,2
52,2016.079,46,1,8,354.8848,5.115173,2.762561,11.83777,2
52,2024.403,47,2,8,354.2447,5.75528,1.80419,8.32373,2
52,2039.303,48,2,16,357.3206,2.679443,1.202095,14.90039,2
53,360.9634,0,0,13,344.5677,15.43225,1.121451,39.78253,3
53,373.6419,1,1,16,347.0921,12.90787,2.041054,12.6785,3
53,398.2567,2,0,0,358.3376,1.662415,1.987686,24.61475,3
53,411.213,3,0,2,9.482416,9.482416,2.693652,12.95633,3
53,423.6831,4,2,6,9.604029,9.604029,2.852227,12.47009,3
53,455.7054,5,1,5,357.9976,2.00238,1.752176,32.02225,3
53,480.0614,6,1,6,347.1197,12.88034,2.341797,24.35605,3
53,590.272,7,2,2,350.4489,9.551117,2.309393,22.7475,1
53,599.0949,8,0,10,348.5405,11.45953,2.099268,8.822876,1
53,613.374,9,0,16,12.04271,12.04271,1.012165,14.27911,1
53,635.4755,10,2,4,359.9013,0.09872437,2.291201,22.10144,1
54,51.84688,0,1,6,355.2077,4.792297,0.826893,12.3591,6
54,67.80836,1,2,2,355.0529,4.947052,0.7034947,15.96148,6
54,77.65871,2,2,4,359.3539,0.6460571,0.9182912,9.850349,6
54,89.16569,3,0,8,355.7805,4.219513,1.414657,11.50697,6
54,98.03931,4,1,2,355.282,4.717957,0.7847459,8.873619,6
54,113.6719,5,1,12,356.4308,3.569214,0.8599868,15.63255,6
54,124.3564,6,2,0,10.71748,10.71748,0.9650208,10.68451,6
54,153.1086,7,0,13,358.4063,1.593719,2.494493,13.91353,7
54,161.3627,8,1,16,2.517705,2.517705,3.425315,8.254135,7
54,178.7433,9,2,11,358.0756,1.924377,2.539448,17.38058,7
54,192.4245,10,1,7,339.6722,20.32779,3.958422,13.6812,7
54,198.2149,11,2,13,2.131859,2.131859,1.051296,5.790466,7
54,208.556,12,2,6,15.16967,15.16967,1.008297,10.34108,7
54,222.5517,13,1,13,359.5492,0.4507751,2.217149,13.99567,7
54,259.2801,14,2,12,357.7007,2.299286,0.9471735,11.1917,4
54,271.481,15,1,10,357.0695,2.930481,0.6529356,12.20099,4
54,283.4815,16,0,1,16.65348,16.65348,0.6916366,12.00046,4
54,292.6754,17,1,9,5.778327,5.778327,1.553121,9.193909,4
54,303.4395,18,0,10,4.183033,4.183033,0.7586159,10.7641,4
54,317.1524,19,0,12,12.47825,12.47825,0.7315099,13.71286,4
54,333.606,20,2,10,3.507129,3.507129,0.6729916,16.45367,4
54,354.0826,21,0,16,1.797491,1.797491,0.7817864,5.928223,5
54,371.1199,22,0,0,359.9851,0.0149231,0.7524152,17.03726,5
54,391.5921,23,1,0,1.584179,1.584179,0.7936122,20.47226,5
54,400.1475,24,2,8,5.324604,5.324604,1.300689,8.555359,5
54,411.4393,25,2,7,1.764376,1.764376,1.29876,11.29178,5
54,416.6027,26,1,3,357.4395,2.560455,1.212297,5.163391,5
54,424.8518,27,1,15,4.930822,4.930822,0.9239854,8.249115,5
54,445.4534,28,0,9,351.0001,8.999908,0.848214,9.517761,2
54,453.6121,29,0,5,358.0602,1.93985,0.9119798,8.158691,2
54,473.1658,30,1,14,355.6332,4.366791,0.7631794,19.55374,2
54,482.1478,31,0,11,2.167373,2.167373,0.6534786,8.981964,2
54,492.4728,32,2,16,353.8915,6.108459,0.7631693,10.32501,2
